Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Rk,salary,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,player_id,log_salary
Moses Moody,22.0,GSW,SG,74.0,34.0,1649.0,12.4,0.578,0.593,0.234,3.3,9.2,6.2,8.3,1.7,1.8,7.9,17.4,1.7,1.8,3.5,0.102,-0.9,0.0,-0.9,0.5,,152,11574075.0,12500000.0,13425925.0,,,,37500000.0,moodymo01,16.2642782411364
Tristan Da Silva,23.0,ORL,SF,74.0,38.0,1629.0,9.9,0.522,0.495,0.13,4.9,12.7,8.6,10.3,1.0,1.1,9.9,15.2,0.5,1.9,2.5,0.073,-2.3,-0.3,-2.6,-0.3,,292,3809520.0,3991200.0,6138466.0,,,,7800720.0,dasiltr01,15.153013754914232
Donte DiVincenzo,28.0,MIN,SG,62.0,10.0,1606.0,14.1,0.582,0.739,0.106,2.2,13.3,7.9,20.2,2.2,1.0,13.8,19.4,1.6,2.2,3.9,0.115,0.8,1.1,1.9,1.6,,148,11990000.0,12535000.0,,,,,24525000.0,divindo01,16.299583527003698
Isaiah Joe,25.0,OKC,SG,74.0,16.0,1604.0,14.0,0.617,0.793,0.095,2.8,10.1,6.6,9.7,1.4,0.6,5.8,17.2,2.9,2.2,5.1,0.153,1.4,-0.1,1.3,1.4,,146,12362338.0,11323006.0,11323006.0,,,,23685344.0,joeis01,16.330165150681644
Miles McBride,24.0,NYK,SG,64.0,10.0,1593.0,12.6,0.531,0.57,0.117,3.4,8.1,5.8,15.6,2.1,1.0,6.7,16.8,1.8,1.4,3.2,0.098,-0.4,0.4,0.0,0.8,,280,4333333.0,3956523.0,,,,,8289856.0,mcbrimi01,15.281847549834621
Isaiah Hartenstein,26.0,OKC,C,57.0,53.0,1590.0,18.9,0.599,0.04,0.244,11.2,29.6,20.6,18.3,1.4,3.9,15.3,16.7,3.2,3.6,6.8,0.205,0.6,2.6,3.2,2.1,,60,28500000.0,28500000.0,,,,,28500000.0,harteis01,17.16541464523888
Gradey Dick,21.0,TOR,SG,54.0,54.0,1587.0,10.9,0.543,0.504,0.24,2.9,10.3,6.5,8.9,1.5,0.6,10.4,21.0,0.2,1.2,1.4,0.042,-1.9,-1.3,-3.2,-0.5,,265,4990560.0,7131511.0,,,,,12122071.0,dickgr01,15.423058685879907
Paolo Banchero,22.0,ORL,PF,46.0,46.0,1582.0,20.0,0.551,0.299,0.423,3.5,22.4,12.5,26.0,1.1,1.7,11.2,33.6,1.1,2.4,3.5,0.106,3.4,0.2,3.5,2.2,,115,15334769.0,41500000.0,44820000.0,48140000.0,51460000.0,54780000.0,201254769.0,banchpa01,16.545633291836985
Patrick Williams,23.0,CHI,PF,63.0,36.0,1576.0,9.0,0.512,0.527,0.161,2.9,12.7,7.9,10.3,1.4,1.8,13.5,16.9,-0.9,1.3,0.4,0.012,-3.0,-0.7,-3.7,-0.7,,106,18000000.0,18000000.0,18000000.0,18000000.0,,,54000000.0,willipa01,16.70588231586044
Obi Toppin,26.0,IND,PF,79.0,4.0,1545.0,17.4,0.642,0.503,0.19,4.1,18.7,11.5,11.9,1.4,1.6,9.5,20.1,2.7,1.6,4.3,0.135,1.8,-0.1,1.7,1.4,,128,14000000.0,15000000.0,16025000.0,,,,45025000.0,toppiob01,16.454567887579532
